"","uid","multiapply_ind","gjj_flag","flt_flag","car_flag","sz_flag","credit_card_flag","eb_value_ind","birth_year","brand_level","al_date1","al_date2","al_date3","al_date1_bank","al_date1_nbank","al_id_m3_num","al_id_m3_bank_num","al_id_m3_nbank_orgnum","al_id_m6_nbank_orgnum","flag_bank","flag_nbank_cons","flag_nbank_cash","last_job_opendate","fst_opendate","salary","flight_id","high_id","flt_m8_id","qmonth","acm_cardindex","debit_balance_m6_avg","debit_in_m6","debit_in_num_m6","debit_out_m6","debit_out_num_m6","credit_out_m6","credit_out_num_m6","credit_cash_m6","credit_cash_month_m6","credit_def_month_m6","debit_balance_m12_avg","debit_in_m12","debit_in_num_m12","debit_out_m12","debit_out_num_m12","credit_out_m12","credit_out_num_m12","credit_cash_m12","credit_cash_month_m12","credit_def_month_m12","mobile_weight","user_level","user_vip","eb_amt_avg","eb_freq","life_house","life_car","life_marry","life_mommy","life_child","consumption_flag","cons_cont","cons_time_recent","cons_tot_m3_num","cons_tot_m3_pay","cons_tot_m3_p_catenum","cons_tot_m3_v_catenum","cons_tot_m3_visits","cons_tot_m12_num","cons_tot_m12_pay","cons_tot_m12_p_catenum","cons_tot_m12_v_catenum","cons_tot_m12_visits","cons_max_m3_num","cons_max_m3_pay","cons_max_m3_paycate","cons_max_m12_num","cons_max_m12_pay","cons_max_m12_paycate","cons_m3_RYBH_num","cons_m3_RYBH_pay","cons_m3_JYDQ_num","cons_m3_JYDQ_pay","cons_m3_MYYP_num","cons_m3_MYYP_pay","cons_m12_RYBH_num","cons_m12_RYBH_pay","cons_m12_JYDQ_num","cons_m12_JYDQ_pay","cons_m12_MYYP_num","cons_m12_MYYP_pay","same_prov","same_city","current_age","al_date1_length","al_date2_length","al_date3_length","al_id_m3_num_combine","al_id_m3_bank_num_combine","al_id_m3_nbank_orgnum_combine","al_id_m6_nbank_orgnum_combine","last_job_opendate_length","fst_opendate_length","NA1_TYPE1","NA1_TYPE2","NA1_TYPE3","GENDER","P_PROV","H_PROV"
"1","000049340A0484E4819395F1632783FC",0,0,0,1,1,1,1,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,7,5600,49250,NA,55000,NA,65250,NA,0,0,0,5600,49250,NA,55000,NA,127500,NA,0,0,0,76,5,1,501,6,0,1,0,0,0,1,"M4","T1",23,3000,6,11,633,38,5000,8,13,895,9,2000,"C15",14,3000,"C15",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Male","A21","A21"
"2","000134E4300EAFE74913AAB970529CB5",1,0,0,0,1,1,0,1985,NA,20161001,20160912,20160828,20161001,NA,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,201609,13,1350,207500,86,242500,24,55000,86,4000,2,0,2035,377500,19,417500,56,92750,13,14500,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M1","T1",6,400,2,3,30,6,400,2,3,30,4,200,"C3",4,200,"C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,32,151,170,185,0,0,0,1,NA,NA,"A13","A9","A13","Male","A5","A5"
"3","00015E4212AC09A693162B6DA021737D",1,0,0,0,1,1,0,1990,NA,20170110,20170103,20161025,NA,20170110,2,0,1,4,1,1,1,NA,NA,NA,NA,NA,NA,201610,7,0,22750,66,16750,10,5500,9,0,0,0,0,28750,86,22750,14,59250,13,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",5,500,2,2,25,31,4000,5,6,155,4,500,"C1",23,3000,"C1",NA,NA,NA,NA,NA,NA,1,300,NA,NA,NA,NA,0,0,27,50,57,127,2,0,1,4,NA,NA,"A9","A9","A9","Female","A6","A5"
"4","0001B1DF2FC6A26A7EB8F0295EC65D27",0,0,0,0,1,1,1,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201607,23,0,7250,1,87500,7,4e+06,36,97750,4,1,0,194750,6,140000,8,1.1e+07,70,984500,10,1,88,6,3,994,18,1,1,1,0,1,1,"M4","T1",128,20000,8,15,3209,232,40000,11,17,5466,71,10000,"C7",109,20000,"C7",3,100,1,200,9,600,8,300,3,600,19,2000,1,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Female","A1","A1"
"5","0001D1AF441E60A3C11DEEE34AAF6543",1,0,0,0,NA,1,1,1985,NA,20170121,20170119,20161224,20170121,NA,6,2,4,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,6,4,1165,13,1,1,1,1,1,1,"M4","T1",58,30000,12,18,1249,113,50000,17,22,2278,27,20000,"C11",39,30000,"C11",1,70,12,20000,0,0,1,70,18,30000,1,100,0,0,32,39,41,67,6,2,4,5,NA,NA,"A13","A8","A9","Male","A13","A5"
"6","00024F8FD3145A6F6BA03DC43ACF50C4",0,1,0,0,1,1,0,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11109,11109,4492,NA,NA,NA,201605,13,1000,250,NA,1250,NA,6e+05,NA,21250,6,0,1000,250,NA,1250,NA,11350000,NA,40000,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",4,700,2,2,20,18,1000,4,4,90,3,400,"C26",13,700,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,35,NA,NA,NA,NA,NA,NA,NA,9770,9770,"","","","Male","A6","A6"
"7","000322BD661F0E2441F3ADA295F21261",1,0,0,0,1,1,0,1980,NA,20170120,20170119,20170119,NA,20170120,23,0,14,14,0,1,1,NA,NA,NA,NA,NA,NA,201612,4,2750,4500,9,42500,27,750,3,0,0,1,2750,72000,52,105000,11,750,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M1","T1",2,0,0,1,10,2,0,0,1,10,2,1,"C16",2,1,"C16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,37,40,41,41,10,0,10,12,NA,NA,"A8","A9","A8","Male","A12","A12"
"8","00044E44D028F35316FC6A95383DE4B6",0,0,0,0,1,1,0,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,11,1166,115000,NA,115000,NA,8e+05,NA,0,0,0,12750,307500,NA,302500,NA,1100000,NA,3250,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M3","T1",1,70,1,2,7,3,500,2,10,46,1,70,"C3",2,400,"C26",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Male","Unknown","A18"
"9","000562493C2B3230D1900D5B4A290C14",1,1,0,0,NA,1,0,1991,NA,20160901,20160829,NA,20160901,NA,0,0,0,0,1,0,0,19928,19928,2092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",5,400,1,2,25,26,2000,1,2,130,3,400,"C16",23,2000,"C16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,26,181,184,NA,0,0,0,0,951,951,"A13","A13","","Female","A3","A3"
"10","000578DE2CBB1BD645CBFD612E7C122F",1,1,0,0,NA,1,1,1983,NA,20170104,20161230,20161127,NA,20170104,7,0,6,15,1,1,1,20545,20545,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,4,2011,31,1,1,1,0,1,1,"M4","T1",80,9000,7,14,863,149,10000,8,15,1737,22,3000,"C7",40,4000,"C1",0,0,10,200,18,1000,0,0,17,300,40,3000,1,1,34,56,61,94,7,0,6,12,334,334,"A9","A9","A8","Female","A6","A6"
